"GEO_ID","NAME","PCT016001","PCT016002","PCT016003","PCT016004","PCT016005","PCT016006","PCT016007","PCT016008","PCT016009","PCT016010","PCT016011","PCT016012","PCT016013","PCT016014","PCT016015","PCT016016","PCT016017","PCT016018","PCT016019","PCT016020","PCT016021","PCT016022","PCT016023","PCT016024","PCT016025","PCT016026"
"id","Geographic Area Name","Total","Total!!Family households","Total!!Family households!!Husband-wife family","Total!!Family households!!Husband-wife family!!With no children under 18 years","Total!!Family households!!Husband-wife family!!With one child under 18 years","Total!!Family households!!Husband-wife family!!With two children under 18 years","Total!!Family households!!Husband-wife family!!With three children under 18 years","Total!!Family households!!Husband-wife family!!With four or more children under 18 years","Total!!Family households!!Male householder, no wife present","Total!!Family households!!Male householder, no wife present!!With no children under 18 years","Total!!Family households!!Male householder, no wife present!!With one child under 18 years","Total!!Family households!!Male householder, no wife present!!With two children under 18 years","Total!!Family households!!Male householder, no wife present!!With three children under 18 years","Total!!Family households!!Male householder, no wife present!!With four or more children under 18 years","Total!!Family households!!Female householder, no husband present","Total!!Family households!!Female householder, no husband present!!With no children under 18 years","Total!!Family households!!Female householder, no husband present!!With one child under 18 years","Total!!Family households!!Female householder, no husband present!!With two children under 18 years","Total!!Family households!!Female householder, no husband present!!With three children under 18 years","Total!!Family households!!Female householder, no husband present!!With four or more children under 18 years","Total!!Nonfamily households","Total!!Nonfamily households!!With no children under 18 years","Total!!Nonfamily households!!With one child under 18 years","Total!!Nonfamily households!!With two children under 18 years","Total!!Nonfamily households!!With three children under 18 years","Total!!Nonfamily households!!With four or more children under 18 years"
"1400000US53067010400","Census Tract 104, Thurston County, Washington","1436","960","746","414","138","145","39","10","63","25","19","13","4","2","151","54","57","29","9","2","476","473","2","1","0","0"
"1400000US53061050600","Census Tract 506, Snohomish County, Washington","437","363","330","173","47","65","35","10","12","3","6","1","1","1","21","9","8","4","0","0","74","73","1","0","0","0"
"1400000US53063002400","Census Tract 24, Spokane County, Washington","1032","293","124","73","24","18","5","4","40","14","16","7","2","1","129","43","38","30","13","5","739","735","3","1","0","0"
"1400000US53053060500","Census Tract 605, Pierce County, Washington","1654","1064","883","512","137","176","42","16","45","20","16","4","5","0","136","68","49","14","4","1","590","586","3","1","0","0"
"1400000US53039950300","Census Tract 9503, Klickitat County, Washington","3061","2099","1709","1023","245","265","120","56","143","42","54","35","10","2","247","92","67","58","23","7","962","948","10","3","1","0"
"1400000US53067010800","Census Tract 108, Thurston County, Washington","2824","1641","1025","613","183","141","68","20","146","50","54","34","7","1","470","138","206","96","23","7","1183","1174","5","3","0","1"
"1400000US53011040505","Census Tract 405.05, Clark County, Washington","1818","1557","1414","797","203","228","106","80","59","25","18","10","6","0","84","34","27","19","3","1","261","256","3","2","0","0"
"1400000US53033032321","Census Tract 323.21, King County, Washington","1607","1424","1321","577","263","357","106","18","38","11","9","13","3","2","65","29","19","13","3","1","183","181","2","0","0","0"
"1400000US53067010910","Census Tract 109.10, Thurston County, Washington","2858","1573","1103","614","218","199","45","27","143","61","53","21","4","4","327","108","127","65","22","5","1285","1270","12","3","0","0"
"1400000US53077002801","Census Tract 28.01, Yakima County, Washington","1899","1544","1335","790","195","216","95","39","80","26","24","18","9","3","129","36","39","35","15","4","355","343","8","4","0","0"
