"county","tract","cbsa13","cntyname","cbsaname","pop10","afact"
"County code","Tract","cbsa13","County name","2013 CBSA name","Total population (2010)","tract to cbsa13 allocation factor"
"53015","0004.00","31020","Cowlitz WA","Longview, WA (Metro)",3612,1 
"53015","0005.01","31020","Cowlitz WA","Longview, WA (Metro)",2826,1 
"53015","0005.02","31020","Cowlitz WA","Longview, WA (Metro)",4858,1 
"53015","0006.01","31020","Cowlitz WA","Longview, WA (Metro)",3867,1 
"53015","0006.02","31020","Cowlitz WA","Longview, WA (Metro)",3017,1 
"53015","0007.02","31020","Cowlitz WA","Longview, WA (Metro)",3079,1 
"53015","0007.03","31020","Cowlitz WA","Longview, WA (Metro)",1601,1 
"53015","0007.04","31020","Cowlitz WA","Longview, WA (Metro)",7029,1 
"53015","0008.00","31020","Cowlitz WA","Longview, WA (Metro)",6727,1 
"53015","0009.00","31020","Cowlitz WA","Longview, WA (Metro)",7008,1 
"53015","0010.00","31020","Cowlitz WA","Longview, WA (Metro)",1226,1 
"53015","0011.00","31020","Cowlitz WA","Longview, WA (Metro)",5856,1 
"53015","0012.00","31020","Cowlitz WA","Longview, WA (Metro)",4386,1 
"53015","0013.00","31020","Cowlitz WA","Longview, WA (Metro)",3606,1 
"53015","0015.01","31020","Cowlitz WA","Longview, WA (Metro)",3005,1 
"53015","0015.02","31020","Cowlitz WA","Longview, WA (Metro)",7918,1 
"53015","0016.00","31020","Cowlitz WA","Longview, WA (Metro)",6330,1 
"53015","0017.00","31020","Cowlitz WA","Longview, WA (Metro)",5169,1 
"53015","0018.00","31020","Cowlitz WA","Longview, WA (Metro)",1689,1 
"53015","0019.00","31020","Cowlitz WA","Longview, WA (Metro)",5118,1 
"53015","0020.01","31020","Cowlitz WA","Longview, WA (Metro)",3609,1 
"53015","0020.02","31020","Cowlitz WA","Longview, WA (Metro)",6062,1 
"53015","0021.00","31020","Cowlitz WA","Longview, WA (Metro)",4303,1 
"53017","9501.00","48300","Douglas WA","Wenatchee, WA (Metro)",6499,1 
"53017","9502.00","48300","Douglas WA","Wenatchee, WA (Metro)",2224,1 
"53017","9503.00","48300","Douglas WA","Wenatchee, WA (Metro)",6057,1 
"53017","9504.00","48300","Douglas WA","Wenatchee, WA (Metro)",6392,1 
"53017","9505.00","48300","Douglas WA","Wenatchee, WA (Metro)",3264,1 
"53017","9506.00","48300","Douglas WA","Wenatchee, WA (Metro)",4453,1 
"53017","9507.00","48300","Douglas WA","Wenatchee, WA (Metro)",4350,1 
"53017","9508.00","48300","Douglas WA","Wenatchee, WA (Metro)",5192,1 
"53019","9400.00"," ","Ferry WA"," ",1731,1 
"53019","9701.00"," ","Ferry WA"," ",2694,1 
"53019","9702.00"," ","Ferry WA"," ",3126,1 
"53021","0201.00","28420","Franklin WA","Kennewick-Richland, WA (Metro)",9654,1 
"53021","0202.00","28420","Franklin WA","Kennewick-Richland, WA (Metro)",6021,1 
"53021","0203.00","28420","Franklin WA","Kennewick-Richland, WA (Metro)",5727,1 
"53021","0204.00","28420","Franklin WA","Kennewick-Richland, WA (Metro)",9393,1 
"53021","0205.01","28420","Franklin WA","Kennewick-Richland, WA (Metro)",4668,1 
"53021","0205.02","28420","Franklin WA","Kennewick-Richland, WA (Metro)",8403,1 
"53021","0206.01","28420","Franklin WA","Kennewick-Richland, WA (Metro)",7412,1 
"53021","0206.03","28420","Franklin WA","Kennewick-Richland, WA (Metro)",3907,1 
"53021","0206.05","28420","Franklin WA","Kennewick-Richland, WA (Metro)",6786,1 
"53021","0206.06","28420","Franklin WA","Kennewick-Richland, WA (Metro)",6484,1 
"53021","0207.00","28420","Franklin WA","Kennewick-Richland, WA (Metro)",1412,1 
"53021","0208.00","28420","Franklin WA","Kennewick-Richland, WA (Metro)",8296,1 
"53023","9703.00"," ","Garfield WA"," ",2266,1 
"53025","0101.00","34180","Grant WA","Moses Lake, WA (Micro)",3638,1 
"53025","0102.00","34180","Grant WA","Moses Lake, WA (Micro)",2965,1 
"53025","0103.00","34180","Grant WA","Moses Lake, WA (Micro)",4095,1 
"53025","0104.00","34180","Grant WA","Moses Lake, WA (Micro)",8040,1 
"53025","0105.00","34180","Grant WA","Moses Lake, WA (Micro)",2963,1 
"53025","0106.00","34180","Grant WA","Moses Lake, WA (Micro)",6848,1 
"53025","0107.00","34180","Grant WA","Moses Lake, WA (Micro)",2755,1 
"53025","0108.00","34180","Grant WA","Moses Lake, WA (Micro)",4709,1 
"53025","0109.01","34180","Grant WA","Moses Lake, WA (Micro)",1306,1 
