"state","puma12","county","tract","stab","cntyname","PUMAname","pop10","afact"
"State code","puma12","County code","Tract","State abbreviation","County name","PUMA12 name","Total population (2010)","puma12 to tract allocation factor"
"53","10501","53063","0010.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",5522,0.044 
"53","10501","53063","0011.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",3278,0.026 
"53","10501","53063","0012.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",2216,0.018 
"53","10501","53063","0013.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",3443,0.027 
"53","10501","53063","0014.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",6244,0.049 
"53","10501","53063","0015.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",5587,0.044 
"53","10501","53063","0016.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",3738,0.03 
"53","10501","53063","0018.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",2762,0.022 
"53","10501","53063","0105.01","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",7905,0.063 
"53","10501","53063","0106.01","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",3490,0.028 
"53","10501","53063","0106.02","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",7418,0.059 
"53","10501","53063","0107.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",5923,0.047 
"53","10501","53063","0108.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",2207,0.017 
"53","10501","53063","0109.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",4939,0.039 
"53","10501","53063","0110.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",3583,0.028 
"53","10501","53063","0111.01","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",5744,0.045 
"53","10501","53063","0111.02","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",3768,0.03 
"53","10501","53063","0112.01","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",7211,0.057 
"53","10501","53063","0144.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",4967,0.039 
"53","10502","53063","0019.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",3527,0.03 
"53","10502","53063","0020.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",4205,0.036 
"53","10502","53063","0021.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",2474,0.021 
"53","10502","53063","0023.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",5073,0.043 
"53","10502","53063","0024.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",2484,0.021 
"53","10502","53063","0025.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",8679,0.073 
"53","10502","53063","0026.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",5236,0.044 
"53","10502","53063","0029.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",3387,0.029 
"53","10502","53063","0030.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",2759,0.023 
"53","10502","53063","0031.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",4954,0.042 
"53","10502","53063","0032.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",2566,0.022 
"53","10502","53063","0035.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",2604,0.022 
"53","10502","53063","0036.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",3906,0.033 
"53","10502","53063","0038.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",1746,0.015 
"53","10502","53063","0039.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",2043,0.017 
"53","10502","53063","0040.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",4953,0.042 
"53","10502","53063","0041.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",2098,0.018 
"53","10502","53063","0042.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",4739,0.04 
"53","10502","53063","0043.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",3328,0.028 
"53","10502","53063","0044.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",4318,0.037 
"53","10502","53063","0045.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",3564,0.03 
"53","10502","53063","0046.01","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",3471,0.029 
"53","10502","53063","0046.02","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",3132,0.027 
"53","10502","53063","0047.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",6572,0.056 
"53","10502","53063","0048.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",3326,0.028 
"53","10502","53063","0049.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",5550,0.047 
"53","10502","53063","0050.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",3534,0.03 
"53","10502","53063","0134.01","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",4656,0.039 
"53","10502","53063","0136.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",4101,0.035 
"53","10502","53063","0137.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",3076,0.026 
"53","10502","53063","0145.00","WA","Spokane WA","Spokane County (South Central)--Spokane City (South)",2104,0.018 
"53","10503","53063","0113.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",7115,0.058 
"53","10503","53063","0114.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",5473,0.045 
"53","10503","53063","0115.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",1456,0.012 
"53","10503","53063","0116.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",1786,0.015 
"53","10503","53063","0117.01","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",2316,0.019 
"53","10503","53063","0117.02","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",5690,0.047 
"53","10503","53063","0118.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",5018,0.041 
"53","10503","53063","0119.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",4352,0.036 
"53","10503","53063","0120.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",3973,0.033 
"53","10503","53063","0121.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",2610,0.021 
"53","10503","53063","0122.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",2369,0.019 
"53","10503","53063","0123.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",5562,0.046 
"53","10503","53063","0124.01","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",4129,0.034 
"53","10503","53063","0124.02","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",6028,0.05 
"53","10503","53063","0125.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",3373,0.028 
"53","10503","53063","0126.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",3608,0.03 
"53","10503","53063","0127.01","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",3582,0.029 
"53","10503","53063","0127.02","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",2139,0.018 
"53","10503","53063","0128.01","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",4110,0.034 
"53","10503","53063","0128.02","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",3293,0.027 
"53","10503","53063","0129.01","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",2994,0.025 
"53","10503","53063","0129.02","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",6891,0.057 
"53","10503","53063","0130.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",7487,0.062 
"53","10503","53063","0131.00","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",9678,0.08 
"53","10503","53063","0132.01","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",7403,0.061 
"53","10503","53063","0132.02","WA","Spokane WA","Spokane County (East Central)--Greater Spokane Valley City",9217,0.076 
"53","10504","53063","0101.00","WA","Spokane WA","Spokane County (Outer)--Cheney City",6128,0.058 
"53","10504","53063","0102.01","WA","Spokane WA","Spokane County (Outer)--Cheney City",4046,0.039 
"53","10504","53063","0102.02","WA","Spokane WA","Spokane County (Outer)--Cheney City",6983,0.066 
"53","10504","53063","0103.01","WA","Spokane WA","Spokane County (Outer)--Cheney City",4266,0.041 
"53","10504","53063","0103.03","WA","Spokane WA","Spokane County (Outer)--Cheney City",3022,0.029 
"53","10504","53063","0103.04","WA","Spokane WA","Spokane County (Outer)--Cheney City",5805,0.055 
"53","10504","53063","0103.05","WA","Spokane WA","Spokane County (Outer)--Cheney City",5979,0.057 
"53","10504","53063","0104.01","WA","Spokane WA","Spokane County (Outer)--Cheney City",6246,0.059 
"53","10504","53063","0104.02","WA","Spokane WA","Spokane County (Outer)--Cheney City",6937,0.066 
"53","10504","53063","0105.03","WA","Spokane WA","Spokane County (Outer)--Cheney City",6701,0.064 
"53","10504","53063","0105.04","WA","Spokane WA","Spokane County (Outer)--Cheney City",3546,0.034 
"53","10504","53063","0112.02","WA","Spokane WA","Spokane County (Outer)--Cheney City",4030,0.038 
"53","10504","53063","0133.00","WA","Spokane WA","Spokane County (Outer)--Cheney City",2913,0.028 
"53","10504","53063","0135.00","WA","Spokane WA","Spokane County (Outer)--Cheney City",7653,0.073 
"53","10504","53063","0138.00","WA","Spokane WA","Spokane County (Outer)--Cheney City",2776,0.026 
"53","10504","53063","0139.00","WA","Spokane WA","Spokane County (Outer)--Cheney City",5752,0.055 
"53","10504","53063","0140.01","WA","Spokane WA","Spokane County (Outer)--Cheney City",5433,0.052 
"53","10504","53063","0140.02","WA","Spokane WA","Spokane County (Outer)--Cheney City",4805,0.046 
"53","10504","53063","0141.00","WA","Spokane WA","Spokane County (Outer)--Cheney City",5507,0.052 
"53","10504","53063","0142.00","WA","Spokane WA","Spokane County (Outer)--Cheney City",3327,0.032 
"53","10504","53063","0143.00","WA","Spokane WA","Spokane County (Outer)--Cheney City",3195,0.03 
"53","10600","53001","9501.00","WA","Adams WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2447,0.024 
"53","10600","53001","9502.00","WA","Adams WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",1738,0.017 
"53","10600","53001","9503.00","WA","Adams WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",6934,0.068 
"53","10600","53001","9504.00","WA","Adams WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2856,0.028 
"53","10600","53001","9505.00","WA","Adams WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",4753,0.047 
"53","10600","53003","9601.00","WA","Asotin WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",4304,0.042 
"53","10600","53003","9602.00","WA","Asotin WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",4542,0.045 
"53","10600","53003","9603.00","WA","Asotin WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",3775,0.037 
"53","10600","53003","9604.00","WA","Asotin WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2165,0.021 
"53","10600","53003","9605.00","WA","Asotin WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",3424,0.034 
"53","10600","53003","9606.00","WA","Asotin WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",3413,0.033 
"53","10600","53013","9602.00","WA","Columbia WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",4078,0.04 
"53","10600","53023","9703.00","WA","Garfield WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2266,0.022 
"53","10600","53043","9601.00","WA","Lincoln WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",1743,0.017 
"53","10600","53043","9602.00","WA","Lincoln WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",3115,0.031 
"53","10600","53043","9603.00","WA","Lincoln WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2714,0.027 
"53","10600","53043","9604.00","WA","Lincoln WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2998,0.029 
"53","10600","53075","0001.00","WA","Whitman WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",6520,0.064 
"53","10600","53075","0002.00","WA","Whitman WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",6543,0.064 
