"county","tract","state","puma12","stab","cntyname","PUMAname","pop10","afact"
"County code","Tract","State code","puma12","State abbreviation","County name","PUMA12 name","Total population (2010)","tract to puma12 allocation factor"
"53015","0013.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",3606,1 
"53015","0015.01","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",3005,1 
"53015","0015.02","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",7918,1 
"53015","0016.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",6330,1 
"53015","0017.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",5169,1 
"53015","0018.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",1689,1 
"53015","0019.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",5118,1 
"53015","0020.01","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",3609,1 
"53015","0020.02","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",6062,1 
"53015","0021.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",4303,1 
"53017","9501.00","53","10300","WA","Douglas WA","Chelan & Douglas Counties",6499,1 
"53017","9502.00","53","10300","WA","Douglas WA","Chelan & Douglas Counties",2224,1 
"53017","9503.00","53","10300","WA","Douglas WA","Chelan & Douglas Counties",6057,1 
"53017","9504.00","53","10300","WA","Douglas WA","Chelan & Douglas Counties",6392,1 
"53017","9505.00","53","10300","WA","Douglas WA","Chelan & Douglas Counties",3264,1 
"53017","9506.00","53","10300","WA","Douglas WA","Chelan & Douglas Counties",4453,1 
"53017","9507.00","53","10300","WA","Douglas WA","Chelan & Douglas Counties",4350,1 
"53017","9508.00","53","10300","WA","Douglas WA","Chelan & Douglas Counties",5192,1 
"53019","9400.00","53","10400","WA","Ferry WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",1731,1 
"53019","9701.00","53","10400","WA","Ferry WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2694,1 
"53019","9702.00","53","10400","WA","Ferry WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",3126,1 
"53021","0201.00","53","10701","WA","Franklin WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",9654,1 
"53021","0202.00","53","10701","WA","Franklin WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",6021,1 
"53021","0203.00","53","10701","WA","Franklin WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",5727,1 
"53021","0204.00","53","10701","WA","Franklin WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",9393,1 
"53021","0205.01","53","10701","WA","Franklin WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",4668,1 
"53021","0205.02","53","10701","WA","Franklin WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",8403,1 
"53021","0206.01","53","10703","WA","Franklin WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",7412,1 
"53021","0206.03","53","10701","WA","Franklin WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",3907,1 
"53021","0206.05","53","10701","WA","Franklin WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",6786,1 
"53021","0206.06","53","10701","WA","Franklin WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",6484,1 
"53021","0207.00","53","10703","WA","Franklin WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",1412,1 
"53021","0208.00","53","10703","WA","Franklin WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",8296,1 
"53023","9703.00","53","10600","WA","Garfield WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2266,1 
"53025","0101.00","53","10800","WA","Grant WA","Grant & Kittitas Counties",3638,1 
"53025","0102.00","53","10800","WA","Grant WA","Grant & Kittitas Counties",2965,1 
"53025","0103.00","53","10800","WA","Grant WA","Grant & Kittitas Counties",4095,1 
"53025","0104.00","53","10800","WA","Grant WA","Grant & Kittitas Counties",8040,1 
"53025","0105.00","53","10800","WA","Grant WA","Grant & Kittitas Counties",2963,1 
"53025","0106.00","53","10800","WA","Grant WA","Grant & Kittitas Counties",6848,1 
"53025","0107.00","53","10800","WA","Grant WA","Grant & Kittitas Counties",2755,1 
"53025","0108.00","53","10800","WA","Grant WA","Grant & Kittitas Counties",4709,1 
"53025","0109.01","53","10800","WA","Grant WA","Grant & Kittitas Counties",1306,1 
"53025","0109.02","53","10800","WA","Grant WA","Grant & Kittitas Counties",9912,1 
"53025","0110.00","53","10800","WA","Grant WA","Grant & Kittitas Counties",11087,1 
"53025","0111.00","53","10800","WA","Grant WA","Grant & Kittitas Counties",7029,1 
"53025","0112.00","53","10800","WA","Grant WA","Grant & Kittitas Counties",4965,1 
"53025","0113.00","53","10800","WA","Grant WA","Grant & Kittitas Counties",3938,1 
"53025","0114.01","53","10800","WA","Grant WA","Grant & Kittitas Counties",1845,1 
"53025","0114.02","53","10800","WA","Grant WA","Grant & Kittitas Counties",13025,1 
"53027","0002.00","53","11300","WA","Grays Harbor WA","Grays Harbor & Mason Counties",7599,1 
"53027","0003.00","53","11300","WA","Grays Harbor WA","Grays Harbor & Mason Counties",3334,1 
"53027","0004.00","53","11300","WA","Grays Harbor WA","Grays Harbor & Mason Counties",6773,1 
"53027","0005.00","53","11300","WA","Grays Harbor WA","Grays Harbor & Mason Counties",6803,1 
"53027","0006.00","53","11300","WA","Grays Harbor WA","Grays Harbor & Mason Counties",3667,1 
